F1	#edp_depmorp_포승읍-@-NNG
F7740	#edp_depmorp_진행-@-NNG
F505	#edp_depmorp_멤버들-@-NNG
F7016	#edp_depmorp_오키나와-@-NNG
F6466	#edp_depmorp_시신-@-NNG
F4614	남동-@-NNG
F3040	#edp_dependency_총리-@-NNG
F3058	#edp_dependency_up||X--up||NP_OBJ--up||VP--down||VP--down||
F507	#edp_depmorp_작전동-@-NNG
F6605	#edp_dependency_여객철도-@-NNG--도카-@-NNG--위치하-@-VV--시-@-NNG--미노카모-@-NNG
F6606	밖-@-NNG
F6607	망치-@-NNG
F235	#edp_depmorp_관문-@-NNG
F6165	#edp_dependency_트빌리시-@-NNG--클럽-@-NNG--하-@-VV
F2154	주의-@-NNG
F1150	에스파냐-@-NNG
F6860	#edp_depmorp_남동생-@-NNG
F6608	#edp_depmorp_어귀-@-NNG
F4616	#edp_dependency_을지로입구역-@-NNG--직통하-@-VV--등-@-NNB--가지-@-VV--서울-@-NNG--조선호텔-@-NNG
F7164	#edp_depmorp_주의-@-NNG
F7570	속-@-NNG
F7544	#edp_arg1_mod_맡-@-VV
F508	#edp_arg1_mod_소년-@-NNG
F762	이-@-NP
F2586	#edp_depmorp_회장-@-NNG
F4617	생활-@-NNG
F4618	구성원-@-NNG
F2588	#edp_depmorp_타도하-@-VV
F4619	#edp_depmorp_가마-@-NNG
F3851	#edp_depmorp_부대-@-NNG
F4620	#edp_dependency_방송국-@-NNG
F6609	일곱째-@-NR
F7219	#edp_arg2_mod_밴드-@-NNG
F510	시스템-@-NNG
F6610	#edp_depmorp_위안-@-NNB
F4622	프랑스-@-NNG
F511	#edp_depmorp_접하-@-VV
F6611	#edp_depmorp_도중-@-NNG
F6612	기념-@-NNG
F4624	#edp_dependency_up||VNP--down||NP_AJT--down||VP_MOD--down||NP_AJT--down||NP--down||
F4625	#edp_depmorp_귀국하-@-VV
F2590	#edp_depmorp_빌딩-@-NNG
F512	#edp_depmorp_정치인-@-NNG
F4626	같-@-VA
F513	오토-@-NNG
F3106	#edp_depmorp_태수-@-NNG
F2591	#edp_dependency_up||NP_AJT--up||VP--down||VP--down||VP--down||NP_SBJ--down||
F2592	#edp_depmorp_남부-@-NNG
F2593	#edp_depmorp_법인-@-NNG
F2594	돔-@-NNG
F6613	세_-@-NNG
F5564	#edp_dependency_up||NP_AJT--up||AP--up||VP--up||VP--up||VP--down||
F2595	#edp_depmorp_루이지애나-@-NNG
F4627	#edp_arg2_mod_스타오피스-@-NNG
F3121	#edp_depmorp_국가안전회-@-NNG
F6979	#edp_depmorp_승차하-@-VV
F2596	영암군-@-NNG
F77	#edp_dependency_up||NP_OBJ--up||VP--up||VP_MOD--up||NP--down||NP_MOD--down||
F7545	#edp_depmorp_숙주-@-NNG
F4628	#edp_dependency_up||NP--down||VNP_MOD--down||
F516	#edp_depmorp_전원-@-NNG
F4629	브루나이-@-NNG
F6536	루이-@-NNG
F517	#edp_depmorp_돕-@-VV
F518	#edp_depmorp_호텔-@-NNG
F5203	조미-@-NNG
F519	#edp_depmorp_그치-@-VV
F974	#edp_dependency_down||NP_CNJ--down||
F4630	#edp_depmorp_유수하-@-VA
F7366	맞트레이드-@-NNG
F7202	신민아-@-NNG
F2598	#edp_depmorp_촬영-@-NNG
F8023	타바사란인-@-NNG
F4632	#edp_depmorp_코치-@-NNG
F6616	국카스텐-@-NNG
F2818	#edp_dependency_위치하-@-VV--이스탄불-@-NNG
F6618	장덕-@-NNG
F4634	호흡-@-NNG
F4635	#edp_dependency_도시-@-NNG--지방-@-NNG--카탈루냐-@-NNG
F4167	#edp_depmorp_코리아-@-NNG
F2142	#edp_arg1_mod_지배자-@-NNG
F4636	#edp_depmorp_공헌-@-NNG
F6875	#edp_depmorp_번-@-NNG
F4637	#edp_depmorp_하남시-@-NNG
F2599	#edp_dependency_up||NP_OBJ--up||VP_MOD--down||NP_SBJ--down||
F520	#edp_depmorp_진압하-@-VV
F4639	#edp_depmorp_후-@-NNG
F522	#edp_depmorp_겸-@-NNB
F2601	#edp_dependency_up||NP_CMP--down||
F523	#edp_depmorp_빠지-@-VV
F6620	#edp_depmorp_먼로빌-@-NNG
F7547	#edp_dependency_철도-@-NNG--위치하-@-VV--시-@-NNG--도코로자-@-NNG
F6621	#edp_arg1_mod_고양시-@-NNG
F7616	#edp_depmorp_고산동-@-NNG
F2602	#edp_dependency_지방-@-NNG--최북단-@-NNG
F6819	#edp_depmorp_윤보선-@-NNG
F4640	머리-@-NNG
F4642	산맥-@-NNG
F6807	#edp_arg1_mod_남서부-@-NNG
F524	#edp_dependency_왈롱-@-NNG
F6622	밀레니엄-@-NNG
F3182	#edp_arg2_mod_종착역-@-NNG
F4643	#edp_depmorp_카이저슬라우테른-@-NNG
F525	#edp_dependency_격파하-@-VV
F7250	#edp_depmorp_방송하-@-VV
F766	유학-@-NNG
F2605	#edp_dependency_down||NP_AJT--down||NP--down||NP--down||
F582	효자역-@-NNG
F2606	소속되-@-VV
F6624	#edp_arg2_mod_연기하-@-VV
F4645	#edp_depmorp_유명인사들-@-NNG
F2607	#edp_dependency_아들-@-NNG--문신-@-NNG--중기-@-NNG
F4646	중화권-@-NNG
F6625	간미연-@-NNG
F6626	#edp_dependency_down||VP_MOD--down||VP--down||NP_AJT--down||NP_CNJ--down||
F6627	독립-@-NNG
F530	#edp_depmorp_사육신-@-NNG
F6628	#edp_dependency_up||VP--up||VP_MOD--down||NP_AJT--down||
F6629	후쿠오카-@-NNG
F6630	#edp_depmorp_베를린-@-NNG
F7277	#edp_dependency_영등포역-@-NNG
F7906	#edp_depmorp_해운대구-@-NNG
F531	롯데-@-NNG
F4648	#edp_depmorp_니타-@-NNG
F532	상륙하-@-VV
F533	#edp_depmorp_관료-@-NNG
F2609	#edp_depmorp_콩코드-@-NNG
F3231	#edp_dependency_스승-@-NNG
F6878	#edp_depmorp_책록되-@-VV
F6632	#edp_arg2_mod_역-@-NNG
F6633	#edp_depmorp_스퀘어-@-NNG
F2611	#edp_depmorp_찍-@-VV
F7297	#edp_depmorp_교외-@-NNG
F4649	#edp_depmorp_아키타-@-NNG
F3244	#edp_depmorp_바스턴-@-NNG
F6226	#edp_arg1_mod_현재-@-NNG
F6634	명나라-@-NNG
F4533	#edp_dependency_노래-@-NNG
F6636	#edp_arg1_mod_사태-@-NNG
F6689	#edp_dependency_신정완-@-NNG
F4651	#edp_dependency_up||NP_MOD--down||
F3512	#edp_arg2_mod_동부-@-NNG
F7312	#edp_dependency_up||NP--down||X--down||NP_PRN--down||NP--down||
F6637	시즌-@-NNG
F6638	#edp_depmorp_부곡동-@-NNG
F4865	비교되-@-VV
F4652	#edp_depmorp_진해구-@-NNG
F6880	#edp_depmorp_창업하-@-VV
F3266	#edp_depmorp_교체하-@-VV
F2612	#edp_depmorp_종로구-@-NNG
F2613	#edp_dependency_철도역-@-NNG--위치하-@-VV--동림군-@-NNG
F538	타임-@-NNG
F2614	#edp_dependency_주-@-NNG--토스카나-@-NNG
F6530	#edp_depmorp_것-@-NNB
F2615	#edp_depmorp_야마가타-@-NNG
F2616	#edp_depmorp_지배층들-@-NNG
F2617	#edp_dependency_up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_AJT--down||
F2618	#edp_dependency_설립되-@-VV--항공사-@-NNG
F6641	#edp_dependency_down||NP_MOD--down||NP--down||
F2619	#edp_arg1_mod_일일드라마-@-NNG
F2620	#edp_dependency_시-@-NNG--니가타-@-NNG
F3285	#edp_arg2_mod_홀딩스-@-NNG
F539	#edp_depmorp_이루-@-VV
F2621	#edp_dependency_몸담-@-VV
F540	스티븐-@-NNG
F6095	#edp_depmorp_항공편-@-NNG
F8022	#edp_dependency_up||VP--up||VP--down||NP_AJT--down||NP--down||
F4653	이시카-@-NNG
F541	내전-@-NNG
F2622	#edp_depmorp_가운데-@-NNG
F6644	원년-@-NNG
F4654	#edp_dependency_위치하-@-VV--번화가-@-NNG--있-@-VA
F4655	주말극-@-NNG
F4656	세계적-@-NNG
F4657	#edp_dependency_정차역-@-NNG--철도역-@-NNG--위치하-@-VV--다가오-@-VV
F7929	윤선도-@-NNG
F4659	#edp_arg1_mod_자리-@-NNG
F3307	#edp_dependency_역-@-NNG--철도역-@-NNG--여객철-@-NNG--위치하-@-VV--다테_시_-@-NNG--홋카이도-@-NNG
F3308	#edp_dependency_up||NP--up||NP--down||NP--down||
F3309	#edp_depmorp_팀동료-@-NNG
F6647	자크-@-NNG
F3312	#edp_dependency_교육자-@-NNG--선교사-@-NNG
F545	개발하-@-VV
F4866	#edp_depmorp_지중해-@-NNG
F7939	#edp_depmorp_개발하-@-VV
F2623	#edp_dependency_지역-@-NNG--일대-@-NNG--평-@-NNB--규모-@-NNG--완공하-@-VV--운영하-@-VV--가지-@-VV--터미널-@-NNG
F1979	#edp_dependency_여객철도-@-NNG--도카-@-NNG--위치하-@-VV--정-@-NNG--나카코마-@-NNG
F547	#edp_dependency_이전하-@-VV--수원-@-NNG--불과하-@-VA--중기-@-NNG
F4662	#edp_dependency_up||NP_AJT--up||VP--up||VP--down||NP_SBJ--down||
F7237	#edp_depmorp_북서-@-NNG
F6649	#edp_depmorp_기슭-@-NNG
F548	#edp_depmorp_사찰-@-NNG
F4663	#edp_depmorp_참여하-@-VV
F7360	#edp_dependency_down||NP_MOD--down||NP_MOD--down||
F4664	#edp_depmorp_둘러싸-@-VV
F2624	#edp_arg1_mod_어머니-@-NNG
F2625	#edp_arg2_mod_서-@-VV
F4457	#edp_arg2_mod_시대-@-NNG
F2627	#edp_depmorp_부산광역시-@-NNG
F3340	#edp_depmorp_송당리-@-NNG
F8057	#edp_dependency_up||NP_AJT--up||VP_MOD--down||NP_SBJ--down||VP_MOD--down||
F2628	#edp_depmorp_가져오-@-VV
F4666	#edp_dependency_아얄라-@-NNG--등-@-NNB--포진하-@-VV
F4667	#edp_depmorp_많-@-VA
F3346	아사쿠라-@-NNG
F550	이다비루-@-NNG
F2629	#edp_dependency_형식-@-NNG--복귀하-@-VV--출장하-@-VV--이적하-@-VV
F2630	#edp_depmorp_족-@-NNG
F6539	#edp_arg2_mod_쪽-@-NNB
F551	#edp_depmorp_자라-@-VV
F6654	동해-@-NNG
F2631	#edp_depmorp_홍콩-@-NNG
F6541	#edp_depmorp_고속철도-@-NNG
F5539	#edp_depmorp_퀘벡_-@-NNG
F2633	#edp_arg2_mod_사우디아라비아-@-NNG
F7398	#edp_arg2_mod_경기도-@-NNG
F6655	#edp_dependency_down||NP_AJT--down||VP_MOD--down||NP_AJT--down||
F553	#edp_depmorp_투입되-@-VV
F6656	#edp_dependency_up||VP--down||NP_OBJ--down||
F2176	#edp_depmorp_오르-@-VV
F554	#edp_depmorp_메탈-@-NNG
F2634	로저스-@-NNG
F6657	#edp_dependency_up||NP--up||NP--down||
F555	#edp_depmorp_카를론-@-NNG
F556	#edp_arg1_mod_주연-@-NNG
F4672	#edp_dependency_up||NP_CNJ--up||NP_SBJ--down||
F558	#edp_depmorp_모스크바-@-NNG
F4673	#edp_dependency_up||NP--up||NP_SBJ--up||VP--down||NP_OBJ--down||
F1789	#edp_dependency_서부-@-NNG
F4674	어린이-@-NNG
F4675	#edp_depmorp_철수하-@-VV
F2635	#edp_depmorp_은퇴하-@-VV
F6659	#edp_arg1_mod_수학자-@-NNG
F6660	수록곡-@-NNG
F559	#edp_dependency_up||NP_SBJ--up||VP_AJT--down||NP_AJT--down||VP_MOD--down||
F6661	#edp_depmorp_중-@-NNG
F6662	#edp_dependency_황제-@-NNG--대-@-NNB
F3389	닛폰-@-NNG
F560	신시내티-@-NNG
F561	#edp_dependency_up||NP_OBJ--up||VP--down||NP_AJT--down||
F4676	#edp_dependency_철도역-@-NNG--있-@-VA--조-@-NNG
F3543	#edp_depmorp_비틀스-@-NNG
F562	#edp_depmorp_유거용-@-NNG
F563	#edp_arg1_mod_팝페라테너-@-NNG
F7397	#edp_dependency_up||VP_MOD--up||VNP--down||
F4407	#edp_dependency_경상남도-@-NNG
F6767	#edp_depmorp_공신-@-NNG
F4677	#edp_arg1_mod_임금-@-NNG
F6792	백업-@-NNG
F4678	#edp_depmorp_텔레비전-@-NNG
F2637	#edp_dependency_합류하-@-VV
F6666	#edp_dependency_되-@-VV--이적하-@-VV
F4679	#edp_arg2_mod_조선-@-NNG
F3405	지로-@-NNG
F4681	#edp_arg1_mod_거북-@-NNG
F3407	갈등-@-NNG
F2825	#edp_dependency_헤딩슛-@-NNG--펀칭하-@-VV--상대-@-NNG
F6667	#edp_arg2_mod_내-@-NNB
F4682	#edp_arg1_mod_개최되-@-VV
F4683	#edp_depmorp_하노이-@-NNG
F2639	#edp_arg2_mod_출신-@-NNG
F6022	#edp_dependency_되-@-VV--무강자사-@-NNG
F2640	#edp_depmorp_이토이가-@-NNG
F6669	#edp_arg2_mod_살-@-VV
F6670	마케도니아인-@-NNG
F7041	#edp_arg1_mod_창시자-@-NNG
F6671	#edp_depmorp_세-@-NNB
F6886	화산-@-NNG
F3431	#edp_dependency_up||VP--up||VP_MOD--up||NP_AJT--up||VP_MOD--up||
F565	#edp_dependency_꽃벌-@-NNG--등-@-NNB--속하-@-VV
F4684	#edp_depmorp_서면-@-NNG
F566	라이벌-@-NNG
F567	#edp_dependency_up||NP_AJT--down||
F6673	#edp_arg1_mod_대손-@-NNG
F5208	#edp_depmorp_무거동-@-NNG
F2641	#edp_depmorp_만족하-@-VA
F7489	#edp_dependency_사-@-NNG
F4685	#edp_depmorp_군인-@-NNG
F568	#edp_dependency_일가-@-NNG
F2642	수석-@-NNG
F2643	#edp_arg2_mod_우승팀-@-NNG
F4686	#edp_depmorp_일일드라마-@-NNG
F4919	#edp_depmorp_개선되-@-VV
F2644	#edp_dependency_유학하-@-VV--속하-@-VV--친원파-@-NNG--후기-@-NNG
F4687	세계대전-@-NNG
F2826	#edp_depmorp_퇴장당-@-VV
F5390	나-@-VV
F5748	#edp_depmorp_영장류-@-NNG
F571	#edp_dependency_교체되-@-VV--입-@-VV--과정-@-NNG--막-@-VV--경기-@-NNG
F6677	#edp_depmorp_대기-@-NNG
F7920	타이완-@-NNG
F7512	#edp_arg2_mod_오대-@-NNG
F4690	#edp_depmorp_비롯하-@-VV
F4691	먹-@-VV
F4692	#edp_dependency_토론토-@-NNG--실시되-@-VV--촬영되-@-VV--형무소-@-NNG--있-@-VA
F572	#edp_depmorp_꼽히-@-VV
F3471	#edp_dependency_온타리오-@-NNG--주-@-NNG
F3474	#edp_depmorp_선은-@-NNG
F3022	#edp_depmorp_곽정욱-@-NNG
F7555	#edp_dependency_서거-@-NNG--참석하-@-VV
F4693	년_-@-NNB
F3371	#edp_arg2_mod_요하-@-VV
F7546	연구-@-NNG
F6230	버지니아-@-NNG
F6549	#edp_arg1_mod_시-@-NNG
F7556	#edp_arg1_mod_우승하-@-VV
F5479	#edp_dependency_up||NP_AJT--up||VP--down||NP_AJT--down||VP_MOD--down||NP_AJT--down||NP_MOD--down||
F6887	#edp_depmorp_즉위하-@-VV
F4694	#edp_depmorp_경유하-@-VV
F574	#edp_depmorp_일요일-@-NNG
F7377	#edp_dependency_전사하-@-VV
F6682	#edp_dependency_up||NP_OBJ--up||VP--down||NP_AJT--down||VP_MOD--down||NP_AJT--down||VNP_MOD--down||
F7536	#edp_depmorp_우크라이나인-@-NNG
F6623	#edp_dependency_되-@-VV
F576	히가시쓰가루-@-NNG
F577	#edp_depmorp_변경되-@-VV
F4695	#edp_depmorp_서현_-@-NNG
F4696	#edp_depmorp_계속하-@-VV
F578	#edp_dependency_역-@-NNG--있-@-VA--시-@-NNG
F4588	#edp_depmorp_세비야-@-NNG
F1612	디애즈-@-NNG
F579	#edp_depmorp_평택제천고속도로-@-NNG
F2646	영어-@-NNG
F4697	타이거즈행-@-NNG
F1831	#edp_dependency_후궁-@-NNG--간택되-@-VV--없-@-VA--예우되-@-VV--일어나-@-VV--멸망하-@-VV--추방되-@-VV
F4698	도카치-@-NNG
F580	난징-@-NNG
F4699	개막-@-NNG
F6504	#edp_depmorp_외조부-@-NNG
F2648	#edp_dependency_일부-@-NNG
F6232	#edp_depmorp_나오-@-VV
F581	후지-@-NNG
F583	#edp_depmorp_계열사-@-NNG
F5560	첼시-@-NNG
F6684	#edp_dependency_우크라이나-@-NNG--살-@-VV--살-@-VV--민족-@-NNG--신봉하-@-VV
F6685	#edp_depmorp_히르카우스-@-NNG
F2649	며느리-@-NNG
F2650	#edp_dependency_up||NP_SBJ--down||NP--down||
F5211	#edp_depmorp_드나들-@-VV
F6686	#edp_arg2_mod_러시아-@-NNG
F4702	#edp_depmorp_개통-@-NNG
F4703	#edp_dependency_up||NP_MOD--up||NP_AJT--up||VP--down||NP_AJT--down||
F2651	앤-@-NNG
F3160	#edp_dependency_down||NP_OBJ--down||
F2652	#edp_depmorp_기관차-@-NNG
F6688	#edp_depmorp_공격수-@-NNG
F587	#edp_depmorp_설-@-NNG
F4705	#edp_depmorp_서명하-@-VV
F7595	브레멘-@-NNG
F588	#edp_arg1_mod_지내-@-VV
F2653	샌와킨스-@-NNG
F2654	#edp_depmorp_국제선-@-NNG
F6690	#edp_depmorp_증손들-@-NNG
F4706	일으키-@-VV
F4707	#edp_depmorp_승리-@-NNG
F7558	부근-@-NNG
F6691	#edp_depmorp_등장인물-@-NNG
F590	#edp_depmorp_잉글랜드-@-NNG
F2830	#edp_depmorp_감독하-@-VV
F2656	#edp_dependency_주도-@-NNG--도시-@-NNG
F7015	비디오-@-NNG
F2657	#edp_dependency_허용하-@-VV
F5901	#edp_depmorp_남성교통-@-NNG
F7624	#edp_depmorp_완공되-@-VV
F265	#edp_arg2_mod_해리슨-@-NNG
F592	#edp_depmorp_포함되-@-VV
F593	#edp_depmorp_추진하-@-VV
F6693	관통하-@-VV
F596	#edp_dependency_번째-@-NNB--차전-@-NNB
F4708	서양-@-NNG
F3419	#edp_depmorp_줄어들-@-VV
F6694	#edp_depmorp_옹호하-@-VV
F597	세계문화유산-@-NNG
F598	상대-@-NNG
F780	#edp_arg1_mod_평가되-@-VV
F6695	#edp_depmorp_쫓겨나-@-VV
F424	#edp_arg2_mod_작-@-NNG
F4709	복귀-@-NNG
F4710	#edp_depmorp_체포되-@-VV
F4711	#edp_depmorp_이것-@-NP
F4712	#edp_depmorp_무시하-@-VV
F7664	#edp_depmorp_패턴-@-NNG
F3604	개장하-@-VV
F4713	#edp_depmorp_전류_-@-NNG
F8069	은-@-NNG
F3615	#edp_depmorp_그리니치빌리지-@-NNG
F6322	#edp_depmorp_대손-@-NNG
F6697	장관-@-NNG
F600	#edp_dependency_윤치호-@-NNG
F1850	#edp_arg2_mod_백업-@-NNG
F6698	#edp_depmorp_점-@-NNG
F6699	#edp_arg2_mod_폰테베드-@-NNG
F6700	#edp_depmorp_손녀-@-NNG
F3165	청소년-@-NNG
F602	#edp_depmorp_관내-@-NNG
F603	#edp_depmorp_히로시마-@-NNG
F6702	#edp_dependency_철도역-@-NNG--여객철-@-NNG--위치하-@-VV--구-@-NNG--시-@-NNG
F6704	#edp_depmorp_국가부원수-@-NNG
F6890	#edp_dependency_교환-@-NNG--이적하-@-VV
F2659	#edp_depmorp_시행하-@-VV
F6030	#edp_dependency_이기-@-VV
F3457	#edp_arg2_mod_경상북도-@-NNG
F2660	블루어-@-NNG
F6461	#edp_depmorp_국립공원-@-NNG
F2661	부산-@-NNG
F6706	스페인-@-NNG
F605	#edp_depmorp_운산면-@-NNG
F7564	#edp_depmorp_힙합-@-NNG
F3652	#edp_arg2_mod_중앙아프리카-@-NNG
F6707	#edp_dependency_up||NP_SBJ--up||VP--down||NP_AJT--down||VP_MOD--down||
F606	초기-@-NNG
F607	#edp_dependency_북부-@-NNG
F2662	바이에른-@-NNG
F4715	#edp_dependency_up||VNP--down||NP_MOD--down||
F7419	#edp_depmorp_발발-@-NNG
F7724	#edp_depmorp_대저동-@-NNG
F2664	#edp_depmorp_구성원-@-NNG
F2665	#edp_depmorp_일본-@-NNG
F2666	#edp_arg1_mod_런던-@-NNG
F4716	#edp_depmorp_뉴저지-@-NNG
F6709	#edp_dependency_종-@-NNG--있-@-VA--독립기념관_-@-NNG--미국-@-NNG
F6710	주-@-NNG
F6289	타-@-VV
F6711	무한궤도_-@-NNG
F4717	#edp_arg1_mod_집-@-NNB
F609	#edp_dependency_up||NP_AJT--up||VP--down||NP_AJT--down||NP_MOD--down||NP--down||
F6712	일어나-@-VV
F4545	올라오-@-VV
F7739	#edp_dependency_군-@-NNG--가사이-@-NNG
F6714	#edp_dependency_시-@-NNG
F2667	칠레-@-NNG
F4718	인종-@-NNG
F4719	#edp_dependency_소속-@-NNG
F4720	#edp_depmorp_당-@-NNG
F2668	#edp_dependency_윤선도-@-NNG
F4721	#edp_depmorp_기대하-@-VV
F3676	#edp_dependency_up||NP_OBJ--down||VP_MOD--down||NP_AJT--down||
F4722	#edp_depmorp_교육인-@-NNG
F7926	#edp_depmorp_리치먼드-@-NNG
F6715	#edp_dependency_열리-@-VV--스타디움-@-NNG
F612	#edp_depmorp_알리-@-VV
F613	#edp_depmorp_남류하-@-VV
F2669	#edp_depmorp_그리즐리스-@-NNG
F7343	셰퍼드-@-NNG
F7566	#edp_depmorp_실현되-@-VV
F614	제작진-@-NNG
F1161	#edp_depmorp_에어-@-NNG
F615	이곳-@-NP
F4724	#edp_depmorp_사림파-@-NNG
F6716	비행기-@-NNG
F616	#edp_depmorp_동생-@-NNG
F4725	#edp_depmorp_서대문구-@-NNG
F6717	#edp_depmorp_선언하-@-VV
F6718	#edp_depmorp_서해안-@-NNG
F617	#edp_arg2_mod_서울특별시-@-NNG
F3697	#edp_dependency_방송-@-NNG--방송되-@-VV--프로그램-@-NNG--통하-@-VV--듣-@-VV--수-@-NNB--있-@-VA--때문-@-NNB--가능하-@-VA--일부지역-@-NNG
F2671	#edp_dependency_사후-@-NNG--즉위하-@-VV
F2672	#edp_dependency_위치하-@-VV--남서부-@-NNG
F4125	#edp_dependency_up||NP_OBJ--up||VP_MOD--down||NP_AJT--down||
F3702	#edp_dependency_철도역-@-NNG--위치하-@-VV--시-@-NNG--아야베-@-NNG
F2675	#edp_depmorp_남성-@-NNG
F3704	#edp_arg2_mod_뉴질랜드-@-NNG
F2677	후반전-@-NNG
F2516	있-@-VA
F620	#edp_dependency_down||NP_CNJ--down||VNP_MOD--down||
F6721	#edp_dependency_좋-@-VA--일요일-@-NNG
F4728	시모교-@-NNG
F8094	#edp_depmorp_서울역-@-NNG
F4729	#edp_depmorp_격돌하-@-VV
F6722	#edp_depmorp_완공하-@-VV
F6723	#edp_depmorp_전쟁-@-NNG
F7235	명성황후-@-NNG
F6724	오석준-@-NNG
F7809	출연진-@-NNG
F2678	#edp_depmorp_일산서구-@-NNG
F5563	#edp_depmorp_애칭-@-NNG
F2741	#edp_dependency_속하-@-VV--때문-@-NNB--정-@-NNG--이재룡-@-NNG
F7236	#edp_dependency_등록하-@-VV--있-@-VA--전적-@-NNG--출전하-@-VV--시즌-@-NNG--같-@-VA
F3733	#edp_depmorp_메우-@-VV
F621	#edp_depmorp_조선-@-NNG
F2679	윈즐릿-@-NNG
F4730	잃-@-VV
F2680	#edp_depmorp_테네시_주-@-NNG
F622	이것-@-NP
F3888	중화민국-@-NNG
F5867	#edp_dependency_받-@-VV--지명-@-NNG
F4731	#edp_dependency_서-@-VV--선-@-NNG--사용되-@-VV--차량-@-NNG--의하-@-VV--감추-@-VV--계승되-@-VV
F4472	#edp_depmorp_우산동-@-NNG
F2681	블라디미르-@-NNG
F623	공동-@-NNG
F4732	#edp_arg1_mod_론도-@-NNG
F624	#edp_arg2_mod_맡-@-VV
F7839	#edp_depmorp_천현동-@-NNG
F7930	충주-@-NNG
F6730	#edp_depmorp_안-@-NNG
F625	#edp_depmorp_관할-@-NNG
F2682	파리_-@-NNG
F2683	#edp_depmorp_카르타고군-@-NNG
F6732	동춘당선생별집-@-NNG
F2684	#edp_depmorp_바이올린-@-NNG
F6895	#edp_dependency_up||VP--down||VP--down||VP--down||VP--down||VP--down||VP--down||VP--down||
F3171	#edp_depmorp_아침드라마-@-NNG
F4733	#edp_depmorp_성-@-NNG
F2686	#edp_dependency_만나-@-VV--논산천안고속도-@-NNG--설치되-@-VV--걸치-@-VV--태성리-@-NNG--고내리-@-NNG--연무읍-@-NNG--논산시-@-NNG
F6734	#edp_depmorp_출생하-@-VV
F2687	조인-@-NNG
F432	#edp_arg1_mod_국가주석-@-NNG
F4734	#edp_depmorp_북단-@-NNG
F628	네스타-@-NNG
F454	#edp_dependency_국제공항-@-NNG--속하-@-VV--항공사-@-NNG
F1210	#edp_dependency_up||VNP--down||NP_AJT--down||VNP--down||
F2688	#edp_dependency_up||NP_MOD--down||VP_MOD--down||NP_AJT--down||NP--down||
F7871	#edp_dependency_up||NP_OBJ--down||NP_CNJ--down||
F1509	기-@-NNG
F6735	#edp_depmorp_한국-@-NNG
F630	#edp_dependency_up||VNP--down||VNP--down||NP_MOD--down||NP--down||NP--down||
F631	#edp_dependency_up||NP_MOD--up||NP_OBJ--down||
F6971	#edp_depmorp_박영효-@-NNG
F632	#edp_depmorp_방문-@-NNG
F2796	오대십국-@-NNG
F4735	#edp_depmorp_민족-@-NNG
F7435	국립미술관-@-NNG
F633	#edp_depmorp_알현하-@-VV
F4736	#edp_depmorp_타격코치-@-NNG
F4737	#edp_dependency_당시-@-NNG
F6736	#edp_depmorp_지천면-@-NNG
F4738	#edp_depmorp_성도-@-NNG
F634	#edp_depmorp_트레이드되-@-NNG
F6738	#edp_dependency_선수-@-NNG--당하-@-VV--도중-@-NNG--경합-@-NNG--보-@-VV--경기-@-NNG
F5565	태조-@-NNG
F2690	#edp_depmorp_브레메-@-NNG
F2691	#edp_dependency_제독-@-NNG--사령관-@-NNG
F6238	#edp_depmorp_미술관-@-NNG
F635	#edp_dependency_수비수-@-NNG
F6739	#edp_depmorp_대학-@-NNG
F4739	#edp_dependency_최초-@-NNG
F4740	#edp_depmorp_김천시-@-NNG
F6740	#edp_depmorp_겹치-@-VV
F1442	#edp_depmorp_쓰이-@-VV
F4742	#edp_dependency_떠나-@-VV--시즌-@-NNG--위-@-NNB--기록하-@-VV--것-@-NNB--예상-@-NNG--뒤집-@-VV--하-@-VV
F4743	목-@-NNG
F4744	#edp_depmorp_플레이오프-@-NNG
F6742	#edp_dependency_up||VP--up||VP_AJT--down||
F4745	#edp_depmorp_분기점-@-NNG
F637	#edp_dependency_up||X--up||
F5417	대학교-@-NNG
F638	#edp_dependency_등-@-NNB--남-@-VV--올림픽고속도-@-NNG--호남고속도-@-NNG
F6744	#edp_depmorp_차량기지-@-NNG
F2692	#edp_depmorp_동산역-@-NNG
F4748	#edp_arg1_mod_동부-@-NNG
F2693	#edp_dependency_외무상-@-NNG
F2694	이주하-@-VV
F4749	#edp_arg1_mod_군인-@-NNG
F6526	#edp_dependency_down||VP_MOD--down||NP_AJT--down||VP--down||VP--down||
F6650	파라과이-@-NNG
F6555	#edp_depmorp_겪-@-VV
F3849	#edp_depmorp_광역시-@-NNG
F2992	#edp_depmorp_활용하-@-VV
F4751	소유하-@-VV
F3853	#edp_dependency_선-@-NNG--긴키-@-NNG--닛폰-@-NNG--철도-@-NNG--나라-@-NNG--서-@-VV--등-@-NNB--짓-@-VV--계획하-@-VV--회사들-@-NNG--비롯하-@-VV--철도-@-NNG
F2697	#edp_depmorp_전시되-@-VV
F4753	#edp_depmorp_통영시-@-NNG
F641	이-@-NR
F7604	#edp_depmorp_구내-@-NNG
F2698	#edp_depmorp_뒤잇-@-VV
F3865	#edp_depmorp_이재룡-@-NNG
F2699	#edp_depmorp_유명하-@-VA
F94	차별-@-NNG
F643	#edp_arg1_mod_현대-@-NNG
F2700	#edp_arg1_mod_장관-@-NNG
